ID,Hero,Skill Name,Timming,Value00,Value01,Value02,Value03,Value04,Value05,Value06,Value07,Skill Explanation
201000,Belber,Spin root,Active,7_12_22,0.15,3,0.25,2,,,,<Hero>가 회전하며 <Enemy>을 타격해  주변 <Value04><Block> 내의 <Enemy>들에게 <Value02><Second>간 <Value03>초 마다 [<Power>*<Attack><*><Value01><+><Value00>]의 <AD>를 입힙니다.
201001,Cabino,Swipe whip,Active,70_120_240,0.8_1.5_3,1.5,,,,,,<Hero>가 <Value02><Block>이내의 가장 가까운 <Enemy>을 강하게 내리쳐 [<Power><*><Value00>]의 <AP>를 입히고 <Value01><Second>간 <Stun>시킵니다.
201002,Dinko,Flame throwing,Active,8_13_22,1.2,0.1,30,3,5,,,<Hero>가 <Value01>초 동안 전방에 화염을 내뿜어 <Enemy>들에게 <Value02>초마다 [<Power><*><Value00>]의 <AP>를 입힙니다. 피해를 받은 <Enemy>은 <Value05><Seconds> 동안 <Value03><Percent>의 화상 상태가 됩니다.  
201003,Azzang,Mucus pool,Active,6_11_20,40_55_70,5,0.2,,,,,<Hero>이 앞<Block>에 <Value02>초간 독 웅덩이를 만들어 범위 안의 <Enemy>들을 <Value01><Percent> <Slow>시키고 <Value03>초마다 [<Value00><*><Power>]의 <AP>를 입힙니다.
201004,Moya,Happy baby,Active,55_77_105,8,,,,,,,<Hero>가 <Value01><Seconds> 동안 [<Power><*><Value00>]의 <+Attack>을 얻습니다.
201005,FingerElfe,Lucky slap,Passive_Attack_End,25_38_77,40_55_70,,,,,,,<Hero>가 [<Value01>*<Power>]<Percent>의 확률로 두 번 공격합니다. 추가공격은 |<Attack><*>0.25<+><Value00>|의 추가 <AD>를 입힙니다.
201006,Wacool,Poop mine,Active,66_110_205,50_60_70,3,1,,,,,<Hero>이 경로에 지뢰를 던져 밟은 <Enemy>과 주변<Value03><Block>에 [<Value00><*><Power>]의 <AP>를 주고 <Value02>초간 <Value01><Percent> <Slow>시킵니다.
201007,Soskereu,Dark ball,Active,95_163_265,110_120_130,,,,,,,<Hero>가 대상에 검은 구체를 던져 [<Value00><*><Power><*><Value01><*>0.01]의 <AP>를 입힙니다. 대미지는 <Value01><Percent> <_Power>의 영향을 받습니다.
201008,Keurot,Thorn explosion,Active,68_103_175,1.5,6,50_55_60,,,,,<Hero>이 주변에 가시를 발사해 <Value01><Block> 내의 <Enemy>들에게 [<Value00>*<Power>]의 <AP>를 입힙니다. 가시에 맞은 <Enemy>은 <Value02><Second>간 <_ADDef>이 <Value03> 감소합니다. 
201009,Witch,Magic ball,Active,42_77_140,75_120_225,1,0.3,,,,,<Hero>가 대상에 마력구체를 던져 맞은 <Enemy>에게 [<Value00><*><Power>]의 <AP>를 입히고 잠시뒤 폭발하여 주변 <Value02>칸 내의 <Enemy>들에게 |<Value01><*><Power>|의 피해를 입힙니다.
201010,Assassin,Flying dagger,Active,70_100_145,150_200_250,2,3,,,,,<Hero>이 <Value02>칸 안의 가장 가까운 <Enemy>에게 단검을 던져 [(<Value00>+(<Value03><*><Attack>))<*><Power>]의 <AD>를 입힙니다. 대상의 등 뒤에 <Enemy>중할 경우 <Value01><Percent>의 피해를 줍니다.
201011,Mocomoco,Silent pouder,Active,60_98_173,5_7_9,,,,,,,<Hero>가 전방에 마법가루를 날려 <Enemy>들에게 [<Value00><*><Power>]의 <AP>를 입히고 <Value01><Second> 동안 <Silent>시킵니다.
201012,Godongi,Two balls,Active,55_80_140,1_1.75_2.5,,,,,,,<Hero>가 다음 <BaseAttack>을 강화해 두 뿔로 <Enemy>을 타격해 [<Value00><*><Power>]의 추가 <AD>를 입히고 <Value01><Second> 동안 <Airborne>웁니다.   
